date,avgtempC
2019-01-01,8
2019-01-02,5
2019-01-03,4
2019-01-04,3
2019-01-05,4
2019-01-06,5
2019-01-07,6
2019-01-08,8
2019-01-09,5
2019-01-10,3
2019-01-11,5
2019-01-12,7
2019-01-13,10
2019-01-14,8
2019-01-15,7
2019-01-16,5
2019-01-17,5
2019-01-18,2
2019-01-19,2
2019-01-20,2
2019-01-21,-0
2019-01-22,0
2019-01-23,0
2019-01-24,-0
2019-01-25,2
2019-01-26,7
2019-01-27,6
2019-01-28,4
2019-01-29,2
2019-01-30,1
2019-01-31,-0
2019-02-01,4
2019-02-02,3
2019-02-03,3
2019-02-04,2
2019-02-05,3
2019-02-06,7
2019-02-07,8
2019-02-08,8
2019-02-09,9
2019-02-10,9
2019-02-11,6
2019-02-12,4
2019-02-13,5
2019-02-14,6
2019-02-15,8
2019-02-16,8
2019-02-17,9
2019-02-18,9
2019-02-19,9
2019-02-20,8
2019-02-21,10
2019-02-22,10
2019-02-23,10
2019-02-24,9
2019-02-25,10
2019-02-26,11
2019-02-27,12
2019-02-28,10
2019-03-01,10
2019-03-02,10
2019-03-03,12
2019-03-04,9
2019-03-05,8
2019-03-06,11
2019-03-07,9
2019-03-08,9
2019-03-09,11
2019-03-10,11
2019-03-11,7
2019-03-12,8
2019-03-13,7
2019-03-14,9
2019-03-15,12
2019-03-16,11
2019-03-17,9
2019-03-18,7
2019-03-19,8
2019-03-20,9
2019-03-21,11
2019-03-22,12
2019-03-23,10
2019-03-24,10
2019-03-25,8
2019-03-26,8
2019-03-27,9
2019-03-28,9
2019-03-29,12
2019-03-30,13
2019-03-31,14
2019-04-01,14
2019-04-02,12
2019-04-03,7
2019-04-04,7
2019-04-05,9
2019-04-06,11
2019-04-07,11
2019-04-08,12
2019-04-09,11
2019-04-10,10
2019-04-11,9
2019-04-12,7
2019-04-13,6
2019-04-14,6
2019-04-15,9
2019-04-16,11
2019-04-17,12
2019-04-18,16
2019-04-19,18
2019-04-20,18
2019-04-21,18
2019-04-22,18
2019-04-23,17
2019-04-24,15
2019-04-25,13
2019-04-26,12
2019-04-27,10
2019-04-28,9
2019-04-29,11
2019-04-30,12
2019-05-01,13
2019-05-02,12
2019-05-03,12
2019-05-04,7
2019-05-05,8
2019-05-06,9
2019-05-07,11
2019-05-08,13
2019-05-09,12
2019-05-10,12
2019-05-11,12
2019-05-12,11
2019-05-13,12
2019-05-14,13
2019-05-15,13
2019-05-16,13
2019-05-17,15
2019-05-18,15
2019-05-19,15
2019-05-20,14
2019-05-21,15
2019-05-22,16
2019-05-23,18
2019-05-24,17
2019-05-25,16
2019-05-26,16
2019-05-27,16
2019-05-28,14
2019-05-29,15
2019-05-30,17
2019-05-31,18
2019-06-01,23
2019-06-02,24
2019-06-03,19
2019-06-04,20
2019-06-05,14
2019-06-06,15
2019-06-07,15
2019-06-08,15
2019-06-09,16
2019-06-10,15
2019-06-11,14
2019-06-12,14
2019-06-13,15
2019-06-14,18
2019-06-15,18
2019-06-16,18
2019-06-17,20
2019-06-18,22
2019-06-19,21
2019-06-20,17
2019-06-21,17
2019-06-22,19
2019-06-23,23
2019-06-24,25
2019-06-25,26
2019-06-26,26
2019-06-27,25
2019-06-28,24
2019-06-29,28
2019-06-30,23
2019-07-01,20
2019-07-02,19
2019-07-03,19
2019-07-04,21
2019-07-05,23
2019-07-06,24
2019-07-07,20
2019-07-08,18
2019-07-09,18
2019-07-10,21
2019-07-11,23
2019-07-12,20
2019-07-13,20
2019-07-14,17
2019-07-15,18
2019-07-16,20
2019-07-17,22
2019-07-18,20
2019-07-19,22
2019-07-20,22
2019-07-21,22
2019-07-22,26
2019-07-23,29
2019-07-24,31
2019-07-25,33
2019-07-26,25
2019-07-27,19
2019-07-28,19
2019-07-29,22
2019-07-30,21
2019-07-31,19
2019-08-01,21
2019-08-02,22
2019-08-03,21
2019-08-04,24
2019-08-05,22
2019-08-06,20
2019-08-07,21
2019-08-08,23
2019-08-09,23
2019-08-10,21
2019-08-11,19
2019-08-12,18
2019-08-13,16
2019-08-14,18
2019-08-15,19
2019-08-16,20
2019-08-17,19
2019-08-18,20
2019-08-19,19
2019-08-20,18
2019-08-21,19
2019-08-22,21
2019-08-23,22
2019-08-24,24
2019-08-25,26
2019-08-26,27
2019-08-27,26
2019-08-28,24
2019-08-29,21
2019-08-30,21
2019-08-31,23
2019-09-01,18
2019-09-02,17
2019-09-03,18
2019-09-04,17
2019-09-05,15
2019-09-06,16
2019-09-07,16
2019-09-08,14
2019-09-09,15
2019-09-10,17
2019-09-11,18
2019-09-12,20
2019-09-13,19
2019-09-14,21
2019-09-15,22
2019-09-16,20
2019-09-17,18
2019-09-18,15
2019-09-19,15
2019-09-20,16
2019-09-21,21
2019-09-22,19
2019-09-23,18
2019-09-24,18
2019-09-25,16
2019-09-26,18
2019-09-27,17
2019-09-28,16
2019-09-29,17
2019-09-30,17
2019-10-01,18
2019-10-02,14
2019-10-03,11
2019-10-04,15
2019-10-05,15
2019-10-06,15
2019-10-07,14
2019-10-08,14
2019-10-09,13
2019-10-10,15
2019-10-11,16
2019-10-12,17
2019-10-13,19
2019-10-14,18
2019-10-15,15
2019-10-16,14
2019-10-17,14
2019-10-18,15
2019-10-19,14
2019-10-20,12
2019-10-21,13
2019-10-22,12
2019-10-23,14
2019-10-24,15
2019-10-25,14
2019-10-26,16
2019-10-27,11
2019-10-28,9
2019-10-29,10
2019-10-30,9
2019-10-31,10
2019-11-01,13
2019-11-02,14
2019-11-03,12
2019-11-04,12
2019-11-05,10
2019-11-06,10
2019-11-07,9
2019-11-08,8
2019-11-09,7
2019-11-10,7
2019-11-11,7
2019-11-12,7
2019-11-13,7
2019-11-14,6
2019-11-15,4
2019-11-16,6
2019-11-17,6
2019-11-18,5
2019-11-19,5
2019-11-20,4
2019-11-21,6
2019-11-22,8
2019-11-23,10
2019-11-24,9
2019-11-25,9
2019-11-26,11
2019-11-27,11
2019-11-28,11
2019-11-29,8
2019-11-30,6
2019-12-01,3
2019-12-02,3
2019-12-03,4
2019-12-04,3
2019-12-05,2
2019-12-06,5
2019-12-07,8
2019-12-08,10
2019-12-09,8
2019-12-10,5
2019-12-11,7
2019-12-12,6
2019-12-13,8
2019-12-14,9
2019-12-15,9
2019-12-16,9
2019-12-17,11
2019-12-18,9
2019-12-19,12
2019-12-20,11
2019-12-21,9
2019-12-22,9
2019-12-23,9
2019-12-24,11
2019-12-25,9
2019-12-26,8
2019-12-27,9
2019-12-28,6
2019-12-29,4
2019-12-30,4
2019-12-31,3
2020-01-01,4
2020-01-02,7
2020-01-03,9
2020-01-04,7
2020-01-05,7
2020-01-06,5
2020-01-07,8
2020-01-08,11
2020-01-09,12
2020-01-10,8
2020-01-11,5
2020-01-12,6
2020-01-13,8
2020-01-14,10
2020-01-15,10
2020-01-16,8
2020-01-17,9
2020-01-18,5
2020-01-19,4
2020-01-20,4
2020-01-21,3
2020-01-22,1
2020-01-23,3
2020-01-24,3
2020-01-25,4
2020-01-26,6
2020-01-27,9
2020-01-28,7
2020-01-29,6
2020-01-30,9
2020-01-31,12
2020-02-01,12
2020-02-02,13
2020-02-03,11
2020-02-04,7
2020-02-05,7
2020-02-06,6
2020-02-07,6
2020-02-08,8
2020-02-09,8
2020-02-10,9
2020-02-11,6
2020-02-12,6
2020-02-13,8
2020-02-14,9
2020-02-15,10
2020-02-16,14
2020-02-17,9
2020-02-18,8
2020-02-19,8
2020-02-20,9
2020-02-21,6
2020-02-22,9
2020-02-23,12
2020-02-24,12
2020-02-25,9
2020-02-26,5
2020-02-27,6
2020-02-28,6
2020-02-29,9
2020-03-01,6
2020-03-02,7
2020-03-03,6
2020-03-04,6
2020-03-05,9
2020-03-06,7
2020-03-07,7
2020-03-08,9
2020-03-09,8
2020-03-10,12
2020-03-11,14
2020-03-12,10
2020-03-13,8
2020-03-14,8
2020-03-15,10
2020-03-16,11
2020-03-17,11
2020-03-18,13
2020-03-19,14
2020-03-20,11
2020-03-21,8
2020-03-22,7
2020-03-23,6
2020-03-24,6
2020-03-25,6
2020-03-26,6
2020-03-27,8
2020-03-28,10
2020-03-29,6
2020-03-30,4
2020-03-31,6
2020-04-01,7
2020-04-02,6
2020-04-03,9
2020-04-04,10
2020-04-05,14
2020-04-06,13
2020-04-07,14
2020-04-08,17
2020-04-09,18
2020-04-10,18
2020-04-11,18
2020-04-12,18
2020-04-13,14
2020-04-14,8
2020-04-15,12
2020-04-16,17
2020-04-17,18
2020-04-18,18
2020-04-19,15
2020-04-20,15
2020-04-21,15
2020-04-22,15
2020-04-23,18
2020-04-24,19
2020-04-25,16
2020-04-26,15
2020-04-27,17
2020-04-28,16
2020-04-29,13
2020-04-30,12
2020-05-01,13
2020-05-02,12
2020-05-03,14
2020-05-04,16
2020-05-05,13
2020-05-06,15
2020-05-07,16
2020-05-08,18
2020-05-09,18
2020-05-10,17
2020-05-11,10
2020-05-12,10
2020-05-13,11
2020-05-14,10
2020-05-15,11
2020-05-16,14
2020-05-17,15
2020-05-18,17
2020-05-19,17
2020-05-20,20
2020-05-21,23
2020-05-22,21
2020-05-23,16
2020-05-24,16
2020-05-25,18
2020-05-26,19
2020-05-27,19
2020-05-28,18
2020-05-29,18
2020-05-30,19
2020-05-31,18
2020-06-01,20
2020-06-02,22
2020-06-03,20
2020-06-04,14
2020-06-05,13
2020-06-06,14
2020-06-07,15
2020-06-08,15
2020-06-09,13
2020-06-10,16
2020-06-11,18
2020-06-12,17
2020-06-13,19
2020-06-14,19
2020-06-15,19
2020-06-16,18
2020-06-17,18
2020-06-18,18
2020-06-19,17
2020-06-20,19
2020-06-21,18
2020-06-22,19
2020-06-23,22
2020-06-24,25
2020-06-25,26
2020-06-26,24
2020-06-27,21
2020-06-28,18
2020-06-29,17
2020-06-30,18
2020-07-01,20
2020-07-02,18
2020-07-03,18
2020-07-04,19
2020-07-05,20
2020-07-06,17
2020-07-07,19
2020-07-08,19
2020-07-09,22
2020-07-10,19
2020-07-11,18
2020-07-12,19
2020-07-13,20
2020-07-14,18
2020-07-15,18
2020-07-16,18
2020-07-17,20
2020-07-18,22
2020-07-19,23
2020-07-20,20
2020-07-21,19
2020-07-22,19
2020-07-23,20
2020-07-24,20
2020-07-25,22
2020-07-26,21
2020-07-27,23
2020-07-28,21
2020-07-29,21
2020-07-30,23
2020-07-31,29
2020-08-01,23
2020-08-02,19
2020-08-03,19
2020-08-04,20
2020-08-05,24
2020-08-06,27
2020-08-07,29
2020-08-08,30
2020-08-09,31
2020-08-10,30
2020-08-11,30
2020-08-12,29
2020-08-13,24
2020-08-14,22
2020-08-15,23
2020-08-16,23
2020-08-17,21
2020-08-18,22
2020-08-19,21
2020-08-20,25
2020-08-21,24
2020-08-22,21
2020-08-23,19
2020-08-24,19
2020-08-25,21
2020-08-26,20
2020-08-27,19
2020-08-28,18
2020-08-29,17
2020-08-30,16
2020-08-31,16
2020-09-01,16
2020-09-02,17
2020-09-03,21
2020-09-04,22
2020-09-05,18
2020-09-06,16
2020-09-07,17
2020-09-08,19
2020-09-09,21
2020-09-10,21
2020-09-11,21
2020-09-12,19
2020-09-13,22
2020-09-14,25
2020-09-15,27
2020-09-16,25
2020-09-17,21
2020-09-18,21
2020-09-19,23
2020-09-20,22
2020-09-21,21
2020-09-22,20
2020-09-23,19
2020-09-24,13
2020-09-25,11
2020-09-26,11
2020-09-27,12
2020-09-28,14
2020-09-29,15
2020-09-30,17
2020-10-01,15
2020-10-02,13
2020-10-03,12
2020-10-04,13
2020-10-05,12
2020-10-06,14
2020-10-07,14
2020-10-08,16
2020-10-09,15
2020-10-10,12
2020-10-11,11
2020-10-12,11
2020-10-13,11
2020-10-14,10
2020-10-15,9
2020-10-16,10
2020-10-17,10
2020-10-18,11
2020-10-19,11
2020-10-20,14
2020-10-21,17
2020-10-22,16
2020-10-23,15
2020-10-24,14
2020-10-25,13
2020-10-26,11
2020-10-27,10
2020-10-28,12
2020-10-29,14
2020-10-30,15
2020-10-31,14
2020-11-01,16
2020-11-02,17
2020-11-03,10
2020-11-04,8
2020-11-05,8
2020-11-06,9
2020-11-07,12
2020-11-08,14
2020-11-09,13
2020-11-10,13
2020-11-11,12
2020-11-12,13
2020-11-13,13
2020-11-14,14
2020-11-15,13
2020-11-16,12
2020-11-17,11
2020-11-18,12
2020-11-19,10
2020-11-20,7
2020-11-21,8
2020-11-22,8
2020-11-23,9
2020-11-24,8
2020-11-25,9
2020-11-26,7
2020-11-27,7
2020-11-28,7
2020-11-29,6
2020-11-30,4
2020-12-01,8
2020-12-02,7
2020-12-03,6
2020-12-04,6
2020-12-05,4
2020-12-06,5
2020-12-07,3
2020-12-08,2
2020-12-09,4
2020-12-10,5
2020-12-11,8
2020-12-12,8
2020-12-13,6
2020-12-14,9
2020-12-15,10
2020-12-16,8
2020-12-17,9
2020-12-18,9
2020-12-19,10
2020-12-20,9
2020-12-21,9
2020-12-22,13
2020-12-23,12
2020-12-24,7
2020-12-25,5
2020-12-26,4
2020-12-27,7
2020-12-28,5
2020-12-29,4
2020-12-30,4
2020-12-31,4
2021-01-01,1
2021-01-02,2
2021-01-03,3
2021-01-04,2
2021-01-05,2
2021-01-06,2
2021-01-07,2
2021-01-08,1
2021-01-09,1
2021-01-10,1
2021-01-11,2
2021-01-12,7
2021-01-13,7
2021-01-14,9
2021-01-15,3
2021-01-16,0
2021-01-17,4
2021-01-18,4
2021-01-19,6
2021-01-20,8
2021-01-21,8
2021-01-22,5
2021-01-23,4
2021-01-24,2
2021-01-25,3
2021-01-26,3
2021-01-27,6
2021-01-28,11
2021-01-29,10
2021-01-30,10
2021-01-31,7
2021-02-01,9
2021-02-02,11
2021-02-03,11
2021-02-04,8
2021-02-05,9
2021-02-06,8
2021-02-07,4
2021-02-08,0
2021-02-09,-1
2021-02-10,-2
2021-02-11,-2
2021-02-12,-1
2021-02-13,-2
2021-02-14,-1
2021-02-15,4
2021-02-16,7
2021-02-17,9
2021-02-18,9
2021-02-19,8
2021-02-20,12
2021-02-21,12
2021-02-22,12
2021-02-23,12
2021-02-24,14
2021-02-25,12
2021-02-26,9
2021-02-27,7
2021-02-28,7
2021-03-01,8
2021-03-02,10
2021-03-03,11
2021-03-04,9
2021-03-05,5
2021-03-06,4
2021-03-07,5
2021-03-08,4
2021-03-09,6
2021-03-10,7
2021-03-11,11
2021-03-12,8
2021-03-13,9
2021-03-14,7
2021-03-15,9
2021-03-16,8
2021-03-17,7
2021-03-18,5
2021-03-19,5
2021-03-20,5
2021-03-21,7
2021-03-22,7
2021-03-23,8
2021-03-24,10
2021-03-25,10
2021-03-26,9
2021-03-27,9
2021-03-28,12
2021-03-29,14
2021-03-30,16
2021-03-31,17
2021-04-01,17
2021-04-02,10
2021-04-03,8
2021-04-04,9
2021-04-05,5
2021-04-06,3
2021-04-07,4
2021-04-08,8
2021-04-09,10
2021-04-10,10
2021-04-11,5
2021-04-12,5
2021-04-13,7
2021-04-14,7
2021-04-15,6
2021-04-16,6
2021-04-17,8
2021-04-18,8
2021-04-19,10
2021-04-20,12
2021-04-21,12
2021-04-22,9
2021-04-23,11
2021-04-24,13
2021-04-25,11
2021-04-26,11
2021-04-27,12
2021-04-28,12
2021-04-29,9
2021-04-30,9
2021-05-01,10
2021-05-02,9
2021-05-03,11
2021-05-04,11
2021-05-05,9
2021-05-06,7
2021-05-07,10
2021-05-08,14
2021-05-09,18
2021-05-10,15
2021-05-11,12
2021-05-12,13
2021-05-13,11
2021-05-14,10
2021-05-15,11
2021-05-16,12
2021-05-17,11
2021-05-18,12
2021-05-19,11
2021-05-20,13
2021-05-21,14
2021-05-22,12
2021-05-23,12
2021-05-24,12
2021-05-25,10
2021-05-26,12
2021-05-27,15
2021-05-28,15
2021-05-29,17
2021-05-30,17
2021-05-31,17
2021-06-01,20
2021-06-02,19
2021-06-03,21
2021-06-04,19
2021-06-05,15
2021-06-06,18
2021-06-07,19
2021-06-08,19
2021-06-09,21
2021-06-10,21
2021-06-11,21
2021-06-12,20
2021-06-13,20
2021-06-14,23
2021-06-15,24
2021-06-16,25
2021-06-17,24
2021-06-18,21
2021-06-19,21
2021-06-20,20
2021-06-21,19
2021-06-22,15
2021-06-23,15
2021-06-24,16
2021-06-25,17
2021-06-26,18
2021-06-27,18
2021-06-28,18
2021-06-29,16
2021-06-30,15
2021-07-01,18
2021-07-02,19
2021-07-03,20
2021-07-04,17
2021-07-05,17
2021-07-06,19
2021-07-07,18
2021-07-08,18
2021-07-09,19
2021-07-10,18
2021-07-11,19
2021-07-12,19
2021-07-13,17
2021-07-14,18
2021-07-15,19
2021-07-16,18
2021-07-17,18
2021-07-18,22
2021-07-19,21
2021-07-20,21
2021-07-21,23
2021-07-22,23
2021-07-23,23
2021-07-24,22
2021-07-25,19
2021-07-26,20
2021-07-27,19
2021-07-28,19
2021-07-29,19
2021-07-30,18
2021-07-31,18
2021-08-01,18
2021-08-02,18
2021-08-03,17
2021-08-04,18
2021-08-05,19
2021-08-06,19
2021-08-07,18
2021-08-08,18
2021-08-09,18
2021-08-10,20
2021-08-11,21
2021-08-12,24
2021-08-13,23
2021-08-14,22
2021-08-15,24
2021-08-16,19
2021-08-17,17
2021-08-18,19
2021-08-19,19
2021-08-20,21
2021-08-21,22
2021-08-22,19
2021-08-23,18
2021-08-24,19
2021-08-25,19
2021-08-26,17
2021-08-27,17
2021-08-28,16
2021-08-29,16
2021-08-30,17
2021-08-31,18
2021-09-01,17
2021-09-02,20
2021-09-03,21
2021-09-04,21
2021-09-05,23
2021-09-06,23
2021-09-07,24
2021-09-08,24
2021-09-09,23
2021-09-10,21
2021-09-11,20
2021-09-12,19
2021-09-13,21
2021-09-14,20
2021-09-15,20
2021-09-16,18
2021-09-17,19
2021-09-18,18
2021-09-19,19
2021-09-20,16
2021-09-21,16
2021-09-22,16
2021-09-23,17
2021-09-24,18
2021-09-25,19
2021-09-26,19
2021-09-27,17
2021-09-28,15
2021-09-29,14
2021-09-30,13
2021-10-01,14
2021-10-02,15
2021-10-03,15
2021-10-04,15
2021-10-05,14
2021-10-06,13
2021-10-07,13
2021-10-08,13
2021-10-09,14
2021-10-10,13
2021-10-11,13
2021-10-12,11
2021-10-13,12
2021-10-14,12
2021-10-15,12
2021-10-16,12
2021-10-17,11
2021-10-18,14
2021-10-19,19
2021-10-20,19
2021-10-21,12
2021-10-22,9
2021-10-23,12
2021-10-24,10
2021-10-25,13
2021-10-26,12
2021-10-27,13
2021-10-28,13
2021-10-29,14
2021-10-30,12
2021-10-31,13
2021-11-01,11
2021-11-02,10
2021-11-03,9
2021-11-04,8
2021-11-05,9
2021-11-06,8
2021-11-07,10
2021-11-08,9
2021-11-09,8
2021-11-10,7
2021-11-11,6
2021-11-12,8
2021-11-13,12
2021-11-14,10
2021-11-15,9
2021-11-16,8
2021-11-17,10
2021-11-18,8
2021-11-19,10
2021-11-20,10
2021-11-21,8
2021-11-22,6
2021-11-23,5
2021-11-24,4
2021-11-25,5
2021-11-26,5
2021-11-27,4
2021-11-28,4
2021-11-29,3
2021-11-30,6
2021-12-01,9
2021-12-02,4
2021-12-03,3
2021-12-04,9
2021-12-05,5
2021-12-06,6
2021-12-07,5
2021-12-08,5
2021-12-09,5
2021-12-10,6
2021-12-11,5
2021-12-12,9
2021-12-13,8
2021-12-14,7
2021-12-15,8
2021-12-16,7
2021-12-17,6
2021-12-18,6
2021-12-19,5
2021-12-20,5
2021-12-21,2
2021-12-22,0
2021-12-23,4
2021-12-24,8
2021-12-25,8
2021-12-26,9
2021-12-27,9
2021-12-28,11
2021-12-29,13
2021-12-30,14
2021-12-31,11
2022-01-01,11
2022-01-02,12
2022-01-03,11
2022-01-04,9
2022-01-05,4
2022-01-06,4
2022-01-07,6
2022-01-08,6
2022-01-09,5
2022-01-10,4
2022-01-11,3
2022-01-12,3
2022-01-13,3
2022-01-14,3
2022-01-15,3
2022-01-16,4
2022-01-17,6
2022-01-18,5
2022-01-19,4
2022-01-20,4
2022-01-21,3
2022-01-22,4
2022-01-23,4
2022-01-24,3
2022-01-25,2
2022-01-26,4
2022-01-27,5
2022-01-28,6
2022-01-29,8
2022-01-30,6
2022-01-31,6
2022-02-01,6
2022-02-02,9
2022-02-03,8
2022-02-04,8
2022-02-05,6
2022-02-06,9
2022-02-07,6
2022-02-08,7
2022-02-09,7
2022-02-10,6
2022-02-11,5
2022-02-12,4
2022-02-13,6
2022-02-14,9
2022-02-15,7
2022-02-16,12
2022-02-17,11
2022-02-18,11
2022-02-19,7
2022-02-20,10
2022-02-21,8
2022-02-22,9
2022-02-23,8
2022-02-24,8
2022-02-25,6
2022-02-26,5
2022-02-27,6
2022-02-28,6
2022-03-01,7
2022-03-02,7
2022-03-03,8
2022-03-04,9
2022-03-05,7
2022-03-06,6
2022-03-07,4
2022-03-08,6
2022-03-09,9
2022-03-10,11
2022-03-11,10
2022-03-12,9
2022-03-13,8
2022-03-14,8
2022-03-15,11
2022-03-16,13
2022-03-17,10
2022-03-18,9
2022-03-19,11
2022-03-20,9
2022-03-21,12
2022-03-22,13
2022-03-23,12
2022-03-24,12
2022-03-25,13
2022-03-26,13
2022-03-27,14
2022-03-28,14
2022-03-29,13
2022-03-30,9
2022-03-31,6
2022-04-01,2
2022-04-02,3
2022-04-03,5
2022-04-04,5
2022-04-05,10
2022-04-06,10
2022-04-07,10
2022-04-08,5
2022-04-09,6
2022-04-10,8
2022-04-11,11
2022-04-12,15
2022-04-13,14
2022-04-14,15
2022-04-15,15
2022-04-16,14
2022-04-17,13
2022-04-18,12
2022-04-19,13
2022-04-20,13
2022-04-21,12
2022-04-22,12
2022-04-23,13
2022-04-24,12
2022-04-25,12
2022-04-26,11
2022-04-27,12
2022-04-28,15
2022-04-29,14
2022-04-30,12
2022-05-01,12
2022-05-02,13
2022-05-03,14
2022-05-04,13
2022-05-05,14
2022-05-06,15
2022-05-07,15
2022-05-08,14
2022-05-09,18
2022-05-10,20
2022-05-11,19
2022-05-12,16
2022-05-13,15
2022-05-14,17
2022-05-15,20
2022-05-16,20
2022-05-17,22
2022-05-18,22
2022-05-19,21
2022-05-20,18
2022-05-21,17
2022-05-22,18
2022-05-23,16
2022-05-24,14
2022-05-25,15
2022-05-26,17
2022-05-27,16
2022-05-28,14
2022-05-29,11
2022-05-30,13
2022-05-31,15
2022-06-01,15
2022-06-02,17
2022-06-03,19
2022-06-04,22
2022-06-05,19
2022-06-06,17
2022-06-07,18
2022-06-08,16
2022-06-09,16
2022-06-10,19
2022-06-11,20
2022-06-12,17
2022-06-13,17
2022-06-14,19
2022-06-15,22
2022-06-16,22
2022-06-17,26
2022-06-18,29
2022-06-19,23
2022-06-20,18
2022-06-21,20
2022-06-22,22
2022-06-23,23
2022-06-24,20
2022-06-25,17
2022-06-26,17
2022-06-27,18
2022-06-28,20
2022-06-29,20
2022-06-30,15
2022-07-01,17
2022-07-02,20
2022-07-03,19
2022-07-04,19
2022-07-05,19
2022-07-06,20
2022-07-07,19
2022-07-08,19
2022-07-09,23
2022-07-10,20
2022-07-11,23
2022-07-12,26
2022-07-13,28
2022-07-14,25
2022-07-15,21
2022-07-16,23
2022-07-17,25
2022-07-18,30
2022-07-19,32
2022-07-20,23
2022-07-21,23
2022-07-22,22
2022-07-23,22
2022-07-24,26
2022-07-25,24
2022-07-26,20
2022-07-27,20
2022-07-28,22
2022-07-29,23
2022-07-30,24
2022-07-31,23
2022-08-01,23
2022-08-02,25
2022-08-03,28
2022-08-04,25
2022-08-05,21
2022-08-06,20
2022-08-07,21
2022-08-08,23
2022-08-09,24
2022-08-10,27
2022-08-11,28
2022-08-12,28
2022-08-13,28
2022-08-14,26
2022-08-15,23
2022-08-16,22
2022-08-17,22
2022-08-18,22
2022-08-19,21
2022-08-20,20
2022-08-21,21
2022-08-22,22
2022-08-23,24
2022-08-24,27
2022-08-25,25
2022-08-26,22
2022-08-27,21
2022-08-28,21
2022-08-29,22
2022-08-30,22
2022-08-31,22
2022-09-01,23
2022-09-02,21
2022-09-03,21
2022-09-04,22
2022-09-05,22
2022-09-06,21
2022-09-07,20
2022-09-08,19
2022-09-09,17
2022-09-10,18
2022-09-11,18
2022-09-12,22
2022-09-13,23
2022-09-14,21
2022-09-15,18
2022-09-16,15
2022-09-17,13
2022-09-18,13
2022-09-19,14
2022-09-20,14
2022-09-21,15
2022-09-22,15
2022-09-23,16
2022-09-24,14
2022-09-25,14
2022-09-26,13
2022-09-27,12
2022-09-28,13
2022-09-29,12
2022-09-30,13
2022-10-01,16
2022-10-02,17
2022-10-03,15
2022-10-04,16
2022-10-05,18
2022-10-06,15
2022-10-07,14
2022-10-08,14
2022-10-09,14
2022-10-10,16
2022-10-11,14
2022-10-12,13
2022-10-13,14
2022-10-14,15
2022-10-15,17
2022-10-16,16
2022-10-17,18
2022-10-18,17
2022-10-19,19
2022-10-20,19
2022-10-21,18
2022-10-22,18
2022-10-23,19
2022-10-24,18
2022-10-25,17
2022-10-26,18
2022-10-27,19
2022-10-28,20
2022-10-29,20
2022-10-30,17
2022-10-31,15
2022-11-01,15
2022-11-02,13
2022-11-03,13
2022-11-04,11
2022-11-05,11
2022-11-06,11
2022-11-07,13
2022-11-08,14
2022-11-09,13
2022-11-10,12
2022-11-11,12
2022-11-12,13
2022-11-13,11
2022-11-14,11
2022-11-15,12
2022-11-16,12
2022-11-17,13
2022-11-18,10
2022-11-19,8
2022-11-20,7
2022-11-21,9
2022-11-22,8
2022-11-23,9
2022-11-24,10
2022-11-25,9
2022-11-26,7
2022-11-27,10
2022-11-28,9
2022-11-29,7
2022-11-30,6
2022-12-01,6
2022-12-02,5
2022-12-03,2
2022-12-04,3
2022-12-05,3
2022-12-06,4
2022-12-07,3
2022-12-08,3
2022-12-09,1
2022-12-10,1
2022-12-11,0
2022-12-12,-0
2022-12-13,-0
2022-12-14,1
2022-12-15,-0
2022-12-16,-1
2022-12-17,-2
2022-12-18,-0
2022-12-19,9
2022-12-20,11
2022-12-21,9
2022-12-22,12
2022-12-23,14
2022-12-24,11
2022-12-25,11
2022-12-26,8
2022-12-27,5
2022-12-28,9
2022-12-29,10
2022-12-30,10
2022-12-31,15
